"","X.1","X","Kingdom","Phylum","Class","Order","Family","Genus","Species","Organism","TaxID","Assembly_Accession","Assembly_Status","Accession_Date","Assembly_Length_Total","Assembly_Length_Ungapped","BUSCO_RefseqAnnotationRelease","BUSCO_Lineage","BUSCO_Cover","BUSCO_Complete","BUSCO_SingleCopy","BUSCO_Duplicated","BUSCO_Fragmented","BUSCO_Missing","BUSCO_TotalCount","ContigN50","ScaffoldN50","Sequencing_Method","Sequencing_Attributes","SRA_Species","Species.1","Sequencing_method_1","Sequencing_method_2","Species.2","GS","AssblySz","Seq_Method","Diff","DiffProp","Species.3","GS.1","AssblySz.1","Seq_Method.1","UR","Diff.1","DiffProp.1"
"2139",8098,8098,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029774475.1","Chromosome","2023/02/28",114005689,113581424,"","","",NA,NA,NA,NA,NA,NA,19478218,28110227,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,114005689,"",55355739.571429,0.326849743996358,"Drosophila melanogaster",173300000,114005689,"",0.774,59294311,0.342148361223312
"2140",8099,8099,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029774455.1","Chromosome","2023/02/28",114005689,113581424,"","","",NA,NA,NA,NA,NA,NA,19478218,28110227,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,114005689,"",55355739.571429,0.326849743996358,"Drosophila melanogaster",173300000,114005689,"",0.774,59294311,0.342148361223312
"2141",8100,8100,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029774435.1","Chromosome","2023/02/28",114005689,113581424,"","","",NA,NA,NA,NA,NA,NA,19478218,28110227,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,114005689,"",55355739.571429,0.326849743996358,"Drosophila melanogaster",173300000,114005689,"",0.774,59294311,0.342148361223312
"2142",8101,8101,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029774415.1","Chromosome","2023/02/28",114005689,113581424,"","","",NA,NA,NA,NA,NA,NA,19478218,28110227,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,114005689,"",55355739.571429,0.326849743996358,"Drosophila melanogaster",173300000,114005689,"",0.774,59294311,0.342148361223312
"2143",8102,8102,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029774395.1","Chromosome","2023/02/28",114005689,113581424,"","","",NA,NA,NA,NA,NA,NA,19478218,28110227,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,114005689,"",55355739.571429,0.326849743996358,"Drosophila melanogaster",173300000,114005689,"",0.774,59294311,0.342148361223312
"2144",8103,8103,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_029774375.1","Chromosome","2023/02/28",114005689,113581424,"","","",NA,NA,NA,NA,NA,NA,19478218,28110227,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,114005689,"",55355739.571429,0.326849743996358,"Drosophila melanogaster",173300000,114005689,"",0.774,59294311,0.342148361223312
"2415",9403,9403,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila serrata","Drosophila serrata (flies)",7274,"GCF_002093755.2","Contig","2017/04/17",196034539,196034539,"","","",NA,NA,NA,NA,NA,NA,954588,954588,"PACBIO_SMRT","PacBio RS II","Drosophila serrata","Drosophila serrata","PACBIO_SMRT","","Drosophila serrata",215960000,196034539,"PACBIO_SMRT",19925461,0.0922645906649379,"Drosophila serrata",221250000,196034539,"PACBIO_SMRT",0.8185,25215461,0.113968185310734
"3192",12105,12105,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_026123175.1","Contig","2020/04/30",139384901,139384901,"","","",NA,NA,NA,NA,NA,NA,458657,458657,"OXFORD_NANOPORE","MinION","Drosophila melanogaster","Drosophila melanogaster","OXFORD_NANOPORE","","Drosophila melanogaster",169361428.571429,139384901,"OXFORD_NANOPORE",29976527.571429,0.176997370796186,"Drosophila melanogaster",173300000,139384901,"OXFORD_NANOPORE",0.774,33915099,0.19570166762839
"3806",13653,13653,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila nebulosa","Drosophila nebulosa (flies)",7271,"GCA_024703675.1","Chromosome","2022/07/18",176642184,176641004,"","","",NA,NA,NA,NA,NA,NA,7670694,20901532,"ILLUMINA","Illumina MiSeq","Drosophila nebulosa","Drosophila nebulosa","ILLUMINA","","Drosophila nebulosa",200140000,176642184,"ILLUMINA",23497816,0.117406895173379,"Drosophila nebulosa",207300000,176642184,"ILLUMINA",0.6545,30657816,0.147891056439942
"3954",14032,14032,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_024500395.1","Chromosome","2022/07/03",177196300,177185100,"","","",NA,NA,NA,NA,NA,NA,12122865,28335897,"PACBIO_SMRT","Sequel II","Drosophila melanogaster","Drosophila melanogaster","PACBIO_SMRT","","Drosophila melanogaster",169361428.571429,177196300,"PACBIO_SMRT",-7834871.42857099,-0.0462612502425048,"Drosophila melanogaster",173300000,177196300,"PACBIO_SMRT",0.774,-3896300,-0.0224829774956722
"4356",15306,15306,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila nasuta","Drosophila nasuta (flies)",42062,"GCF_023558535.1","Chromosome","2019/10/07",171781232,171780782,"RS_2023_11","diptera_odb10","4.1.4",0.997565,0.991172,0.00639269,0.000913242,0.00152207,3285,20479040,33885645,"ILLUMINA","Illumina HiSeq 2500","Drosophila nasuta","Drosophila nasuta","ILLUMINA","","Drosophila nasuta",244050000,171781232,"ILLUMINA",72268768,0.296122794509322,"Drosophila nasuta",244050000,171781232,"ILLUMINA",0.6155,72268768,0.296122794509322
"4357",15307,15307,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila kepulauana","Drosophila kepulauana (flies)",88882,"GCA_023558455.1","Chromosome","2019/10/07",163769021,163768721,"","","",NA,NA,NA,NA,NA,NA,34564094,34564094,"ILLUMINA","Illumina HiSeq 2500","Drosophila kepulauana","Drosophila kepulauana","ILLUMINA","","Drosophila kepulauana",230950000,163769021,"ILLUMINA",67180979,0.290889712058887,"Drosophila kepulauana",230950000,163769021,"ILLUMINA",0.676,67180979,0.290889712058887
"4384",15450,15450,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila pseudoobscura","Drosophila pseudoobscura (flies)",7237,"GCA_023515705.1","Contig","2022/04/15",34567851,34567851,"","","",NA,NA,NA,NA,NA,NA,330156,330156,"","","Drosophila pseudoobscura","Drosophila pseudoobscura","","","Drosophila pseudoobscura",164264000,34567851,"",129696149,0.789559179126284,"Drosophila pseudoobscura",171050000,34567851,"",0.8765,136482149,0.797907915814089
"4385",15451,15451,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila pseudoobscura","Drosophila pseudoobscura (flies)",7237,"GCA_023515665.1","Contig","2022/04/15",55037118,55037118,"","","",NA,NA,NA,NA,NA,NA,816342,816342,"","","Drosophila pseudoobscura","Drosophila pseudoobscura","","","Drosophila pseudoobscura",164264000,55037118,"",109226882,0.664947170408611,"Drosophila pseudoobscura",171050000,55037118,"",0.8765,116012882,0.678239590762935
"4386",15452,15452,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila pseudoobscura","Drosophila pseudoobscura (flies)",7237,"GCA_023515675.1","Contig","2022/04/15",34545044,34545044,"","","",NA,NA,NA,NA,NA,NA,215074,215074,"","","Drosophila pseudoobscura","Drosophila pseudoobscura","","","Drosophila pseudoobscura",164264000,34545044,"",129718956,0.789698022695174,"Drosophila pseudoobscura",171050000,34545044,"",0.8765,136504956,0.798041251096171
"4396",15473,15473,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila sechellia","Drosophila sechellia (flies)",7238,"GCF_004382195.2","Chromosome","2019/03/28",153084571,153080771,"","","",NA,NA,NA,NA,NA,NA,19907079,24956976,"PACBIO_SMRT","Sequel II","Drosophila sechellia","Drosophila sechellia","PACBIO_SMRT","","Drosophila sechellia",179596000,153084571,"PACBIO_SMRT",26511429,0.147617034900555,"Drosophila sechellia",199600000,153084571,"PACBIO_SMRT",0.695,46515429,0.233043231462926
"4687",16482,16482,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila ananassae","Drosophila ananassae (flies)",7217,"GCA_022817985.1","Scaffold","2017/01/01",129050530,128277578,"","","",NA,NA,NA,NA,NA,NA,2896,4695,"ILLUMINA","Illumina HiSeq 2500","Drosophila ananassae","Drosophila ananassae","ILLUMINA","","Drosophila ananassae",200056000,129050530,"ILLUMINA",71005470,0.354927970168353,"Drosophila ananassae",201850000,129050530,"ILLUMINA",0.79,72799470,0.360661233589299
"4688",16483,16483,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_022817885.1","Scaffold","2017/01/01",109626683,109176892,"","","",NA,NA,NA,NA,NA,NA,3401,4524,"ILLUMINA","Illumina HiSeq 2500","Drosophila melanogaster","Drosophila melanogaster","ILLUMINA","","Drosophila melanogaster",169361428.571429,109626683,"ILLUMINA",59734745.571429,0.352705725709178,"Drosophila melanogaster",173300000,109626683,"ILLUMINA",0.774,63673317,0.367416716676284
"4689",16484,16484,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila ananassae","Drosophila ananassae (flies)",7217,"GCA_022817805.1","Scaffold","2017/01/01",124975838,124063983,"","","",NA,NA,NA,NA,NA,NA,5139,11857,"","","Drosophila ananassae","Drosophila ananassae","","","Drosophila ananassae",200056000,124975838,"",75080162,0.375295727196385,"Drosophila ananassae",201850000,124975838,"",0.79,76874162,0.380847966311618
"5071",17738,17738,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_927718685.1","Scaffold","2022/01/12",131470283,131360683,"","","",NA,NA,NA,NA,NA,NA,6212683,24271298,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,131470283,"",37891145.571429,0.22372948723356,"Drosophila melanogaster",173300000,131470283,"",0.774,41829717,0.241371708020773
"5072",17739,17739,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila simulans","Drosophila simulans (flies)",7240,"GCA_927717595.1","Scaffold","2022/01/12",136164514,136097314,"","","",NA,NA,NA,NA,NA,NA,40609896,41411389,"","","Drosophila simulans","Drosophila simulans","","","Drosophila simulans",147945000,136164514,"",11780486,0.0796274696677819,"Drosophila simulans",166350000,136164514,"",0.765,30185486,0.181457685602645
"5073",17740,17740,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_927717585.1","Scaffold","2022/01/12",130593342,130483042,"","","",NA,NA,NA,NA,NA,NA,14899963,23923160,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,130593342,"",38768086.571429,0.228907413561869,"Drosophila melanogaster",173300000,130593342,"",0.774,42706658,0.246431956145413
"5074",17742,17742,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila simulans","Drosophila simulans (flies)",7240,"GCA_927718705.1","Scaffold","2022/01/12",142051488,142009588,"","","",NA,NA,NA,NA,NA,NA,19611840,27528843,"","","Drosophila simulans","Drosophila simulans","","","Drosophila simulans",147945000,142051488,"",5893512,0.0398358308830985,"Drosophila simulans",166350000,142051488,"",0.765,24298512,0.146068602344454
"5075",17747,17747,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila simulans","Drosophila simulans (flies)",7240,"GCA_927717605.1","Scaffold","2022/01/12",132985690,132908190,"","","",NA,NA,NA,NA,NA,NA,16120890,24699960,"","","Drosophila simulans","Drosophila simulans","","","Drosophila simulans",147945000,132985690,"",14959310,0.101113995065734,"Drosophila simulans",166350000,132985690,"",0.765,33364310,0.200566937180643
"5076",17748,17748,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_927718715.1","Scaffold","2022/01/12",131429677,131331777,"","","",NA,NA,NA,NA,NA,NA,10553205,23706508,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,131429677,"",37931751.571429,0.22396924666605,"Drosophila melanogaster",173300000,131429677,"",0.774,41870323,0.241606018465089
"5077",17750,17750,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila simulans","Drosophila simulans (flies)",7240,"GCA_927718675.1","Scaffold","2022/01/12",134383420,134309820,"","","",NA,NA,NA,NA,NA,NA,20976825,26174653,"","","Drosophila simulans","Drosophila simulans","","","Drosophila simulans",147945000,134383420,"",13561580,0.0916663624995775,"Drosophila simulans",166350000,134383420,"",0.765,31966580,0.19216459272618
"5078",17751,17751,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_927720205.1","Scaffold","2022/01/12",134572326,134481426,"","","",NA,NA,NA,NA,NA,NA,16996519,25011104,"","","Drosophila melanogaster","Drosophila melanogaster","","","Drosophila melanogaster",169361428.571429,134572326,"",34789102.571429,0.205413374608827,"Drosophila melanogaster",173300000,134572326,"",0.774,38727674,0.223471863819965
"5217",18078,18078,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Zaprionus","Zaprionus bogoriensis","Zaprionus bogoriensis (flies)",309927,"GCA_021223985.1","Scaffold","2021/06/08",158470898,156589682,"","","",NA,NA,NA,NA,NA,NA,40739,3015024,"ILLUMINA","Illumina HiSeq 4000","Zaprionus bogoriensis","Zaprionus bogoriensis","ILLUMINA","","Zaprionus bogoriensis",225600000,158470898,"ILLUMINA",67129102,0.297558076241135,"Zaprionus bogoriensis",225600000,158470898,"ILLUMINA",0.7815,67129102,0.297558076241135
"5219",18081,18081,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila kikkawai","Drosophila kikkawai (flies)",30033,"GCA_021223915.1","Scaffold","2021/06/08",170548708,168567301,"","","",NA,NA,NA,NA,NA,NA,139978,3904079,"ILLUMINA","Illumina HiSeq 4000","Drosophila kikkawai","Drosophila kikkawai","ILLUMINA","","Drosophila kikkawai",217293333.333333,170548708,"ILLUMINA",46744625.333333,0.215122224949376,"Drosophila kikkawai",223250000,170548708,"ILLUMINA",0.785,52701292,0.236064017917133
"5220",18082,18082,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila serrata","Drosophila serrata (flies)",7274,"GCA_021223895.1","Scaffold","2021/06/08",169440204,168250641,"","","",NA,NA,NA,NA,NA,NA,141491,569503,"ILLUMINA","Illumina HiSeq 4000","Drosophila serrata","Drosophila serrata","ILLUMINA","","Drosophila serrata",215960000,169440204,"ILLUMINA",46519796,0.2154093165401,"Drosophila serrata",221250000,169440204,"ILLUMINA",0.8185,51809796,0.234168569491525
"5221",18084,18084,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila pseudoananassae","Drosophila pseudoananassae (flies)",65964,"GCA_021223845.1","Scaffold","2021/06/08",185693881,183388991,"","","",NA,NA,NA,NA,NA,NA,176960,610039,"ILLUMINA","Illumina HiSeq 4000","Drosophila pseudoananassae","Drosophila pseudoananassae","ILLUMINA","","Drosophila pseudoananassae",221346666.666667,185693881,"ILLUMINA",35652785.666667,0.161072159809651,"Drosophila pseudoananassae",219550000,185693881,"ILLUMINA",0.785,33856119,0.154206873149624
"5222",18085,18085,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila jambulina","Drosophila jambulina (flies)",111875,"GCA_021223805.1","Scaffold","2021/06/08",174920154,173129234,"","","",NA,NA,NA,NA,NA,NA,135968,9692567,"ILLUMINA","Illumina HiSeq 4000","Drosophila jambulina","Drosophila jambulina","ILLUMINA","","Drosophila jambulina",211593333.333333,174920154,"ILLUMINA",36673179.333333,0.173319162544502,"Drosophila jambulina",214700000,174920154,"ILLUMINA",0.8035,39779846,0.185281071262226
"5223",18087,18087,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila immigrans","Drosophila immigrans (flies)",7250,"GCA_021223785.1","Scaffold","2021/06/08",167497717,165970131,"","","",NA,NA,NA,NA,NA,NA,109934,6185321,"ILLUMINA","Illumina HiSeq 4000","Drosophila immigrans","Drosophila immigrans","ILLUMINA","","Drosophila immigrans",277093333.333333,167497717,"ILLUMINA",109595616.333333,0.395518777066692,"Drosophila immigrans",264050000,167497717,"ILLUMINA",0.6565,96552283,0.365659091081235
"5224",18088,18088,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila bipectinata","Drosophila bipectinata (flies)",42026,"GCA_021223765.1","Scaffold","2021/06/08",173415174,171547948,"","","",NA,NA,NA,NA,NA,NA,181176,1246104,"ILLUMINA","Illumina HiSeq 2000","Drosophila bipectinata","Drosophila bipectinata","ILLUMINA","","Drosophila bipectinata",205833333.333333,173415174,"ILLUMINA",32418159.333333,0.157497130364371,"Drosophila bipectinata",210950000,173415174,"ILLUMINA",0.79,37534826,0.177932334676464
"5226",18090,18090,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila bunnanda","Drosophila bunnanda (flies)",244254,"GCA_021223745.1","Scaffold","2021/06/08",156309106,155379232,"","","",NA,NA,NA,NA,NA,NA,136512,2187256,"ILLUMINA","Illumina HiSeq 2000","Drosophila bunnanda","Drosophila bunnanda","ILLUMINA","","Drosophila bunnanda",228653333.333333,156309106,"ILLUMINA",72344227.333333,0.316392620560965,"Drosophila bunnanda",235400000,156309106,"ILLUMINA",0.65,79090894,0.335985106202209
"5227",18091,18091,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila rubida","Drosophila rubida (flies)",30044,"GCA_021223945.1","Scaffold","2021/06/08",137777123,137192388,"","","",NA,NA,NA,NA,NA,NA,105634,22872580,"ILLUMINA","Illumina HiSeq 4000","Drosophila rubida","Drosophila rubida","ILLUMINA","","Drosophila rubida",216060000,137777123,"ILLUMINA",78282877,0.362320082384523,"Drosophila rubida",216060000,137777123,"ILLUMINA",0.5955,78282877,0.362320082384523
"5340",18386,18386,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila nannoptera","Drosophila nannoptera (flies)",103845,"GCA_020883555.1","Scaffold","2021/11/16",134504500,114349022,"","","",NA,NA,NA,NA,NA,NA,4020,8811711,"PACBIO_SMRT","Sequel","Drosophila nannoptera","Drosophila nannoptera","PACBIO_SMRT","","Drosophila nannoptera",243573333.333333,134504500,"PACBIO_SMRT",109068833.333333,0.44778642982264,"Drosophila nannoptera",2.48e+08,134504500,"PACBIO_SMRT",0.453,113495500,0.45764314516129
"5341",18387,18387,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila pachea","Drosophila pachea (flies)",103846,"GCA_020883565.1","Scaffold","2021/11/16",127516150,109040233,"","","",NA,NA,NA,NA,NA,NA,3383,13920077,"PACBIO_SMRT","Sequel","Drosophila pachea","Drosophila pachea","PACBIO_SMRT","","Drosophila pachea",162400000,127516150,"PACBIO_SMRT",34883850,0.214802032019704,"Drosophila pachea",162400000,127516150,"PACBIO_SMRT",0.68,34883850,0.214802032019704
"5371",18508,18508,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila dunni","Drosophila dunni (flies)",133979,"GCA_020829155.1","Contig","2021/10/31",148924934,148924934,"","","",NA,NA,NA,NA,NA,NA,7767783,7767783,"ILLUMINA","Illumina HiSeq 4000","Drosophila dunni","Drosophila dunni","ILLUMINA","","Drosophila dunni",286550000,148924934,"ILLUMINA",137625066,0.480282903507241,"Drosophila dunni",286550000,148924934,"ILLUMINA",0.55,137625066,0.480282903507241
"5404",18646,18646,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila persimilis","Drosophila persimilis (flies)",7234,"GCA_020698555.1","Chromosome","2021/08/19",160643447,160643447,"","","",NA,NA,NA,NA,NA,NA,18749661,18749661,"PACBIO_SMRT","Sequel","Drosophila persimilis","Drosophila persimilis","PACBIO_SMRT","","Drosophila persimilis",188364000,160643447,"PACBIO_SMRT",27720553,0.147164813871016,"Drosophila persimilis",182400000,160643447,"PACBIO_SMRT",0.907,21756553,0.119279347587719
"5405",18647,18647,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila pseudoobscura","Drosophila pseudoobscura pseudoobscura (flies)",46245,"GCA_020698565.1","Chromosome","2021/08/19",162474015,162474015,"","","",NA,NA,NA,NA,NA,NA,17329761,17329761,"ILLUMINA","Illumina HiSeq 1000","Drosophila pseudoobscura pseudoobscura","Drosophila pseudoobscura","ILLUMINA","","Drosophila pseudoobscura",164264000,162474015,"ILLUMINA",1789985,0.0108970011688501,"Drosophila pseudoobscura",171050000,162474015,"ILLUMINA",0.8765,8575985,0.0501372990353698
"5891",19309,19309,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila simulans","Drosophila simulans (flies)",7240,"GCF_016746395.2","Chromosome","2017/03/09",131663590,131662591,"103","diptera_odb10","4.1.4",0.998478,0.994216,0.0042618,0.000304414,0.00121766,3285,22319025,23399903,"ILLUMINA","HiSeq X Ten","Drosophila simulans","Drosophila simulans","ILLUMINA","","Drosophila simulans",147945000,131663590,"ILLUMINA",16281410,0.110050424144108,"Drosophila simulans",166350000,131663590,"ILLUMINA",0.765,34686410,0.208514637811843
"5959",19726,19726,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_020169495.1","Chromosome","2021/07/31",135269293,135247714,"","","",NA,NA,NA,NA,NA,NA,1639443,26103715,"ILLUMINA","Illumina NovaSeq 6000","Drosophila melanogaster","Drosophila melanogaster","ILLUMINA","","Drosophila melanogaster",169361428.571429,135269293,"ILLUMINA",34092135.571429,0.201298110549714,"Drosophila melanogaster",173300000,135269293,"ILLUMINA",0.774,38030707,0.21945012694749
"5965",19734,19734,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_020141985.1","Chromosome","2021/07/31",138734501,138695300,"","","",NA,NA,NA,NA,NA,NA,1493090,26306180,"OXFORD_NANOPORE","MinION","Drosophila melanogaster","Drosophila melanogaster","OXFORD_NANOPORE","","Drosophila melanogaster",169361428.571429,138734501,"OXFORD_NANOPORE",30626927.571429,0.180837678506662,"Drosophila melanogaster",173300000,138734501,"OXFORD_NANOPORE",0.774,34565499,0.199454697057126
"5966",19735,19735,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_020142045.1","Chromosome","2021/07/31",143505252,143464529,"","","",NA,NA,NA,NA,NA,NA,1116240,26956129,"ILLUMINA","Illumina NovaSeq 6000","Drosophila melanogaster","Drosophila melanogaster","ILLUMINA","","Drosophila melanogaster",169361428.571429,143505252,"ILLUMINA",25856176.571429,0.15266862584667,"Drosophila melanogaster",173300000,143505252,"ILLUMINA",0.774,29794748,0.171925839584536
"5968",19737,19737,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_020142105.1","Chromosome","2020/09/04",141343829,141330402,"","","",NA,NA,NA,NA,NA,NA,6014515,26279491,"ILLUMINA","Illumina HiSeq 2500","Drosophila melanogaster","Drosophila melanogaster","ILLUMINA","","Drosophila melanogaster",169361428.571429,141343829,"ILLUMINA",28017599.571429,0.165430817440303,"Drosophila melanogaster",173300000,141343829,"ILLUMINA",0.774,31956171,0.184397986151183
"5969",19738,19738,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_020142085.1","Chromosome","2020/09/04",138116188,138098325,"","","",NA,NA,NA,NA,NA,NA,3919405,25852719,"OXFORD_NANOPORE","MinION","Drosophila melanogaster","Drosophila melanogaster","OXFORD_NANOPORE","","Drosophila melanogaster",169361428.571429,138116188,"OXFORD_NANOPORE",31245240.571429,0.184488527494034,"Drosophila melanogaster",173300000,138116188,"OXFORD_NANOPORE",0.774,35183812,0.203022573571841
"5970",19739,19739,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_020142055.1","Chromosome","2021/07/31",138295947,138233646,"","","",NA,NA,NA,NA,NA,NA,752404,27085556,"ILLUMINA","Illumina NovaSeq 6000","Drosophila melanogaster","Drosophila melanogaster","ILLUMINA","","Drosophila melanogaster",169361428.571429,138295947,"ILLUMINA",31065481.571429,0.183427134699251,"Drosophila melanogaster",173300000,138295947,"ILLUMINA",0.774,35004053,0.201985302942874
"5971",19740,19740,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_020142025.1","Chromosome","2021/07/31",142125391,142086890,"","","",NA,NA,NA,NA,NA,NA,967827,26878272,"OXFORD_NANOPORE","MinION","Drosophila melanogaster","Drosophila melanogaster","OXFORD_NANOPORE","","Drosophila melanogaster",169361428.571429,142125391,"OXFORD_NANOPORE",27236037.571429,0.160816059483946,"Drosophila melanogaster",173300000,142125391,"OXFORD_NANOPORE",0.774,31174609,0.179888107328332
"5972",19741,19741,"Metazoa","Arthropoda","Insecta","Diptera","Drosophilidae","Drosophila","Drosophila melanogaster","Drosophila melanogaster (fruit fly)",7227,"GCA_020142005.1","Chromosome","2020/09/04",140921016,140892269,"","","",NA,NA,NA,NA,NA,NA,3982040,26630113,"ILLUMINA","Illumina HiSeq 2500","Drosophila melanogaster","Drosophila melanogaster","ILLUMINA","","Drosophila melanogaster",169361428.571429,140921016,"ILLUMINA",28440412.571429,0.167927330392316,"Drosophila melanogaster",173300000,140921016,"ILLUMINA",0.774,32378984,0.186837761107905
